icd10_code	icd10_phe
M93922	Osteochondropathy, unspecified, left upper arm
C822A	Follicular lymphoma grade III, unspecified, in remission
L74513	Primary focal hyperhidrosis, soles
M2619	Other specified anomalies of jaw-cranial base relationship
S00261	Insect bite (nonvenomous) of right eyelid and periocular area
T421X2	Poisoning by iminostilbenes, intentional self-harm
Z628	Other specified problems related to upbringing
C10	Malignant neoplasm of oropharynx
H93219	Auditory recruitment, unspecified ear
L98A31	Non-pressure chronic ulcer of right hand
M85122	Skeletal fluorosis, left upper arm
F1591	Other stimulant use, unspecified, in remission
N51	Disorders of male genital organs in diseases classified elsewhere
S53095	Other dislocation of left radial head
S36201	Unspecified injury of body of pancreas
Z568	Other problems related to employment
M86119	Other acute osteomyelitis, unspecified shoulder
Y382X2	Terrorism involving other explosions and fragments, civilian injured
O097	Supervision of high risk pregnancy due to social problems
S90412	Abrasion, left great toe
M61259	Paralytic calcification and ossification of muscle, unspecified thigh
S53031	Nursemaid's elbow, right elbow
C4720	Malignant neoplasm of peripheral nerves of unspecified lower limb, including hip
N80529	Endometriosis of the sigmoid colon, unspecified depth
O716	Obstetric damage to pelvic joints and ligaments
S3165A	Open bite of abdominal wall, unspecified flank with penetration into peritoneal cavity
I2101	ST elevation (STEMI) myocardial infarction involving left main coronary artery
H18211	Corneal edema secondary to contact lens, right eye
H9192	Unspecified hearing loss, left ear
S68111	Complete traumatic metacarpophalangeal amputation of left index finger
I5084	End stage heart failure
S31645	Puncture wound with foreign body of abdominal wall, periumbilic region with penetration into peritoneal cavity
Y92521	Bus station as the place of occurrence of the external cause
V9524	Other private fixed-wing aircraft fire injuring occupant
N803B3	Deep endometriosis of bilateral uterosacral ligament(s)
M1040	Other secondary gout, unspecified site
T868429	Corneal transplant infection, unspecified eye
E0811	Diabetes mellitus due to underlying condition with ketoacidosis with coma
O2251	Cerebral venous thrombosis in pregnancy, first trimester
X962	Assault by letter bomb
M21229	Flexion deformity, unspecified elbow
E80	Disorders of porphyrin and bilirubin metabolism
T45AX1	Poisoning by immune checkpoint inhibitors and immunostimulant drugs, accidental (unintentional)
O293X9	Toxic reaction to local anesthesia during pregnancy, unspecified trimester
T7811	Other adverse food reactions due to milk and dairy products
F02C	Dementia in other diseases classified elsewhere, severe
A5219	Other symptomatic neurosyphilis
D233	Other benign neoplasm of skin of other and unspecified parts of face
T4069	Poisoning by, adverse effect of and underdosing of other narcotics
Y652	Failure in suture or ligature during surgical operation
S8490	Injury of unspecified nerve at lower leg level, unspecified leg
D553	Anemia due to disorders of nucleotide metabolism
J028	Acute pharyngitis due to other specified organisms
V591	Passenger in pick-up truck or van injured in collision with other and unspecified motor vehicles in nontraffic accident
L9843	Non-pressure chronic ulcer of abdomen
S0403	Injury of optic tract and pathways
Z3801	Single liveborn infant, delivered by cesarean
H40249	Residual stage of angle-closure glaucoma, unspecified eye
M12179	Kaschin-Beck disease, unspecified ankle and foot
A0471	Enterocolitis due to Clostridium difficile, recurrent
H31099	Other chorioretinal scars, unspecified eye
H742	Discontinuity and dislocation of ear ossicles
E08630	Diabetes mellitus due to underlying condition with periodontal disease
F12959	Cannabis use, unspecified with psychotic disorder, unspecified
T24532	Corrosion of first degree of left lower leg
N8312	Corpus luteum cyst of left ovary
V785	Driver of bus injured in noncollision transport accident in traffic accident
Q25	Congenital malformations of great arteries
Z96651	Presence of right artificial knee joint
T2256	Corrosion of first degree of scapular region
S61356	Open bite of right little finger with damage to nail
Z440	Encounter for fitting and adjustment of artificial arm
S062X2	Diffuse traumatic brain injury with loss of consciousness of 31 minutes to 59 minutes
R2241	Localized swelling, mass and lump, right lower limb
H6692	Otitis media, unspecified, left ear
G210	Malignant neuroleptic syndrome
H65114	Acute and subacute allergic otitis media (mucoid) (sanguinous) (serous), recurrent, right ear
M84811	Other disorders of continuity of bone, right shoulder
Q5181	Other congenital malformations of uterus
T17808	Unspecified foreign body in other parts of respiratory tract causing other injury
T494X2	Poisoning by keratolytics, keratoplastics, and other hair treatment drugs and preparations, intentional self-harm
B159	Hepatitis A without hepatic coma
L8942	Pressure ulcer of contiguous site of back, buttock and hip, stage 2
O34523	Maternal care for prolapse of gravid uterus, third trimester
V0084	Accident with standing micro-mobility pedestrian conveyance
I69992	Facial weakness following unspecified cerebrovascular disease
J9809	Other diseases of bronchus, not elsewhere classified
S83196	Other dislocation of unspecified knee
S92134	Nondisplaced fracture of posterior process of right talus
T413X5	Adverse effect of local anesthetics
V23	Motorcycle rider injured in collision with car, pick-up truck or van
C8472	Anaplastic large cell lymphoma, ALK-negative, intrathoracic lymph nodes
H9109	Ototoxic hearing loss, unspecified ear
Q9359	Other deletions of part of a chromosome
H04569	Stenosis of unspecified lacrimal punctum
I517	Cardiomegaly
I69923	Fluency disorder following unspecified cerebrovascular disease
J47	Bronchiectasis
M85141	Skeletal fluorosis, right hand
O86	Other puerperal infections
Q926	Marker chromosomes
K8036	Calculus of bile duct with acute and chronic cholangitis without obstruction
M24842	Other specific joint derangements of left hand, not elsewhere classified
T23072	Burn of unspecified degree of left wrist
D160	Benign neoplasm of scapula and long bones of upper limb
M4835	Traumatic spondylopathy, thoracolumbar region
T2420	Burn of second degree of unspecified site of lower limb, except ankle and foot
M87844	Other osteonecrosis, right finger(s)
S01302	Unspecified open wound of left ear
T8049	Other Rh incompatibility reaction due to transfusion of blood or blood products
I82719	Chronic embolism and thrombosis of superficial veins of unspecified upper extremity
L0502	Pilonidal sinus with abscess
M0505	Felty's syndrome, hip
Q986	Male with structurally abnormal sex chromosome
E0501	Thyrotoxicosis with diffuse goiter with thyrotoxic crisis or storm
H15033	Posterior scleritis, bilateral
I8222	Embolism and thrombosis of inferior vena cava
M7021	Olecranon bursitis, right elbow
M082A	Juvenile rheumatoid arthritis with systemic onset, other specified site
C6980	Malignant neoplasm of overlapping sites of unspecified eye and adnexa
E1131	Type 2 diabetes mellitus with unspecified diabetic retinopathy
S35532	Injury of left uterine artery
S99919	Unspecified injury of unspecified ankle
M51A5	Intervertebral annulus fibrosus defect, large, lumbosacral region
C8300	Small cell B-cell lymphoma, unspecified site
G368	Other specified acute disseminated demyelination
S15019	Minor laceration of unspecified carotid artery
S93301	Unspecified subluxation of right foot
O0730	Failed attempted termination of pregnancy with unspecified complications
S90112	Contusion of left great toe without damage to nail
M751	Rotator cuff tear or rupture, not specified as traumatic
T63481	Toxic effect of venom of other arthropod, accidental (unintentional)
S72451	Displaced supracondylar fracture without intracondylar extension of lower end of right femur
S85899	Other specified injury of other blood vessels at lower leg level, unspecified leg
V0509	Pedestrian with other conveyance injured in collision with railway train or railway vehicle in nontraffic accident
Z8505	Personal history of malignant neoplasm of liver
O468	Other antepartum hemorrhage
R7681	Abnormal rheumatoid factor and anti-citrullinated protein antibody without rheumatoid arthritis
Q912	Trisomy 18, translocation
T63021	Toxic effect of coral snake venom, accidental (unintentional)
M70871	Other soft tissue disorders related to use, overuse and pressure, right ankle and foot
S411	Open wound of upper arm
M93252	Osteochondritis dissecans, left hip
Y36451	War operations involving combat using blunt or piercing object, civilian
K55032	Diffuse acute (reversible) ischemia of large intestine
S56309	Unspecified injury of extensor or abductor muscles, fascia and tendons of unspecified thumb at forearm level
M97	Periprosthetic fracture around internal prosthetic joint
Q8582	Other Cowden syndrome
Y35899	Legal intervention involving other specified means, unspecified person injured
Q273	Arteriovenous malformation (peripheral)
T484X1	Poisoning by expectorants, accidental (unintentional)
Y070	Spouse or partner, perpetrator of maltreatment and neglect
S9312	Dislocation of metatarsophalangeal joint
H901	Conductive hearing loss, unilateral with unrestricted hearing on the contralateral side
I70	Atherosclerosis
T50911	Poisoning by multiple unspecified drugs, medicaments and biological substances, accidental (unintentional)
S56299	Other injury of other flexor muscle, fascia and tendon at forearm level, unspecified arm
N35011	Post-traumatic bulbous urethral stricture
O661	Obstructed labor due to locked twins
S89132	Salter-Harris Type III physeal fracture of lower end of left tibia
G561	Other lesions of median nerve
M47894	Other spondylosis, thoracic region
S02609	Fracture of mandible, unspecified
Z770	Contact with and (suspected) exposure to hazardous, chiefly nonmedicinal, chemicals
C9331	Juvenile myelomonocytic leukemia, in remission
M87873	Other osteonecrosis, unspecified ankle
H33053	Total retinal detachment, bilateral
M480	Spinal stenosis
S01531	Puncture wound without foreign body of lip
S85419	Laceration of lesser saphenous vein at lower leg level, unspecified leg
Z3A1	Weeks of gestation of pregnancy, weeks 10-19
P253	Pneumopericardium originating in the perinatal period
S40012	Contusion of left shoulder
W201	Struck by object due to collapse of building
V511	Passenger in pick-up truck or van injured in collision with pedal cycle in nontraffic accident
H44792	Retained (old) intraocular foreign body, nonmagnetic, in other or multiple sites, left eye
I82C12	Acute embolism and thrombosis of left internal jugular vein
O7020	Third degree perineal laceration during delivery, unspecified
S59091	Other physeal fracture of lower end of ulna, right arm
Y93B2	Activity, push-ups, pull-ups, sit-ups
Z12	Encounter for screening for malignant neoplasms
S82409	Unspecified fracture of shaft of unspecified fibula
T82128	Displacement of other cardiac electronic device
W262	Contact with edge of stiff paper
C651	Malignant neoplasm of right renal pelvis
T79	Certain early complications of trauma, not elsewhere classified
L62	Nail disorders in diseases classified elsewhere
D693	Immune thrombocytopenic purpura
A982	Kyasanur Forest disease
D508	Other iron deficiency anemias
V359	Unspecified occupant of three-wheeled motor vehicle injured in collision with railway train or railway vehicle in traffic accident
H6519	Other acute nonsuppurative otitis media
M1383	Other specified arthritis, wrist
Z92859	Personal history of cellular therapy, unspecified
M43	Other deforming dorsopathies
T22139	Burn of first degree of unspecified upper arm
Q134	Other congenital corneal malformations
C84Z5	Other mature T/NK-cell lymphomas, lymph nodes of inguinal region and lower limb
L578	Other skin changes due to chronic exposure to nonionizing radiation
M66139	Rupture of synovium, unspecified wrist
G4390	Migraine, unspecified, not intractable
H55	Nystagmus and other irregular eye movements
S62224	Nondisplaced Rolando's fracture, right hand
M47897	Other spondylosis, lumbosacral region
S42331	Displaced oblique fracture of shaft of humerus, right arm
T63302	Toxic effect of unspecified spider venom, intentional self-harm
K011	Impacted teeth
N006	Acute nephritic syndrome with dense deposit disease
S3269	Other specified fracture of ischium
S52389	Bent bone of unspecified radius
A549	Gonococcal infection, unspecified
F19282	Other psychoactive substance dependence with psychoactive substance-induced sleep disorder
T41201	Poisoning by unspecified general anesthetics, accidental (unintentional)
F19180	Other psychoactive substance abuse with psychoactive substance-induced anxiety disorder
S02612	Fracture of condylar process of left mandible
Z85028	Personal history of other malignant neoplasm of stomach
G06	Intracranial and intraspinal abscess and granuloma
T194	Foreign body in penis
C50429	Malignant neoplasm of upper-outer quadrant of unspecified male breast
M8004	Age-related osteoporosis with current pathological fracture, hand
T63711	Toxic effect of contact with venomous marine plant, accidental (unintentional)
H21342	Primary cyst of pars plana, left eye
I825Z	Chronic embolism and thrombosis of unspecified deep veins of distal lower extremity
J95811	Postprocedural pneumothorax
T3266	Corrosions involving 60-69% of body surface with 60-69% third degree corrosion
Q516	Embryonic cyst of cervix
R76	Other abnormal immunological findings in serum
S66101	Unspecified injury of flexor muscle, fascia and tendon of left index finger at wrist and hand level
M50022	Cervical disc disorder at C5-C6 level with myelopathy
R6889	Other general symptoms and signs
V9335	Fall on board canoe or kayak
S2231	Fracture of one rib, right side
E74810	Glucose transporter protein type 1 deficiency
F19980	Other psychoactive substance use, unspecified with psychoactive substance-induced anxiety disorder
J452	Mild intermittent asthma
M169	Osteoarthritis of hip, unspecified
S92216	Nondisplaced fracture of cuboid bone of unspecified foot
G7120	Congenital myopathy, unspecified
H49882	Other paralytic strabismus, left eye
H043	Acute and unspecified inflammation of lacrimal passages
I824Z9	Acute embolism and thrombosis of unspecified deep veins of unspecified distal lower extremity
T8253	Leakage of other cardiac and vascular devices and implants
H34211	Partial retinal artery occlusion, right eye
M66349	Spontaneous rupture of flexor tendons, unspecified hand
E881	Lipodystrophy, not elsewhere classified
H35131	Retinopathy of prematurity, stage 2, right eye
S0930	Unspecified injury of middle and inner ear
C826	Cutaneous follicle center lymphoma
D5742	Sickle-cell thalassemia beta zero without crisis
S2529	Other specified injury of superior vena cava
V0103	Pedestrian on standing micro-mobility pedestrian conveyance injured in collision with pedal cycle in nontraffic accident
M435	Other recurrent vertebral dislocation
Z3865	Quintuplet liveborn infant, delivered vaginally
V829	Occupant of streetcar injured in unspecified traffic accident
M67269	Synovial hypertrophy, not elsewhere classified, unspecified lower leg
G35	Multiple sclerosis
M89631	Osteopathy after poliomyelitis, right forearm
S67194	Crushing injury of right ring finger
G8193	Hemiplegia, unspecified affecting right nondominant side
E7521	Fabry (-Anderson) disease
R846	Abnormal cytological findings in specimens from respiratory organs and thorax
S6311	Subluxation and dislocation of metacarpophalangeal joint of thumb
M1A09	Idiopathic chronic gout, multiple sites
S909	Unspecified superficial injury of ankle, foot and toe
I6330	Cerebral infarction due to thrombosis of unspecified cerebral artery
Q681	Congenital deformity of finger(s) and hand
I609	Nontraumatic subarachnoid hemorrhage, unspecified
P835	Congenital hydrocele
Q86	Congenital malformation syndromes due to known exogenous causes, not elsewhere classified
T800	Air embolism following infusion, transfusion and therapeutic injection
S21119	Laceration without foreign body of unspecified front wall of thorax without penetration into thoracic cavity
A5045	Juvenile general paresis
I83212	Varicose veins of right lower extremity with both ulcer of calf and inflammation
M19242	Secondary osteoarthritis, left hand
H5003	Monocular esotropia with V pattern
T40995	Adverse effect of other psychodysleptics [hallucinogens]
M87152	Osteonecrosis due to drugs, left femur
Q335	Ectopic tissue in lung
V101	Pedal cycle passenger injured in collision with pedestrian or animal in nontraffic accident
S92402	Displaced unspecified fracture of left great toe
S1983	Other specified injuries of vocal cord
M84462	Pathological fracture, left tibia
M4684	Other specified inflammatory spondylopathies, thoracic region
A362	Laryngeal diphtheria
S29021	Laceration of muscle and tendon of front wall of thorax
M01X4	Direct infection of hand in infectious and parasitic diseases classified elsewhere
T537X3	Toxic effect of other halogen derivatives of aromatic hydrocarbons, assault
C4451	Basal cell carcinoma of skin of trunk
M20099	Other deformity of finger(s), unspecified finger(s)
O4423	Partial placenta previa NOS or without hemorrhage, third trimester
S9929	Other physeal fracture of phalanx of toe
D531	Other megaloblastic anemias, not elsewhere classified
O24313	Unspecified pre-existing diabetes mellitus in pregnancy, third trimester
H5354	Protanomaly
D1723	Benign lipomatous neoplasm of skin and subcutaneous tissue of right leg
H16129	Filamentary keratitis, unspecified eye
S76299	Other injury of adductor muscle, fascia and tendon of unspecified thigh
T450	Poisoning by, adverse effect of and underdosing of antiallergic and antiemetic drugs
C441021	Unspecified malignant neoplasm of skin of right upper eyelid, including canthus
M13111	Monoarthritis, not elsewhere classified, right shoulder
T8031	ABO incompatibility with hemolytic transfusion reaction
M84521	Pathological fracture in neoplastic disease, right humerus
T365X6	Underdosing of aminoglycosides
H6643	Suppurative otitis media, unspecified, bilateral
H01002	Unspecified blepharitis right lower eyelid
V2529	Unspecified rider of other motorcycle injured in collision with railway train or railway vehicle in nontraffic accident
S82001	Unspecified fracture of right patella
Z9841	Cataract extraction status, right eye
B0803	Pseudocowpox [milker's node]
F1119	Opioid abuse with unspecified opioid-induced disorder
Q665	Congenital pes planus
H11132	Conjunctival pigmentations, left eye
N4611	Organic oligospermia
T8613	Kidney transplant infection
A157	Primary respiratory tuberculosis
B0820	Exanthema subitum [sixth disease], unspecified
M4800	Spinal stenosis, site unspecified
T504X	Poisoning by, adverse effect of and underdosing of drugs affecting uric acid metabolism
M88	Osteitis deformans [Paget's disease of bone]
R413	Other amnesia
S65291	Other specified injury of superficial palmar arch of right hand
B748	Other filariases
M4108	Infantile idiopathic scoliosis, sacral and sacrococcygeal region
H4710	Unspecified papilledema
S45	Injury of blood vessels at shoulder and upper arm level
V9344	Struck by falling object on sailboat
R1905	Periumbilic swelling, mass or lump
O122	Gestational edema with proteinuria
T650X4	Toxic effect of cyanides, undetermined
W555	Contact with raccoon
T602X	Toxic effect of other insecticides
V423	Unspecified car occupant injured in collision with two- or three-wheeled motor vehicle in nontraffic accident
F17210	Nicotine dependence, cigarettes, uncomplicated
L97809	Non-pressure chronic ulcer of other part of unspecified lower leg with unspecified severity
R1032	Left lower quadrant pain
S3084A	External constriction of flank
I7033	Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration
H7490	Unspecified disorder of middle ear and mastoid, unspecified ear
S522	Fracture of shaft of ulna
T863	Complications of heart-lung transplant
D350	Benign neoplasm of adrenal gland
O0330	Unspecified complication following incomplete spontaneous abortion
S56819	Strain of other muscles, fascia and tendons at forearm level, unspecified arm
M5012	Cervical disc disorder with radiculopathy, mid-cervical region
O35C	Maternal care for other (suspected) fetal abnormality and damage, fetal pulmonary anomalies
Q71819	Congenital shortening of unspecified upper limb
S2320	Dislocation of unspecified part of thorax
H2152	Goniosynechiae
H2641	Soemmering's ring
M86429	Chronic osteomyelitis with draining sinus, unspecified humerus
S904	Other superficial injuries of toe
V792	Unspecified bus occupant injured in collision with other and unspecified motor vehicles in nontraffic accident
M21941	Unspecified acquired deformity of hand, right hand
S62395	Other fracture of fourth metacarpal bone, left hand
I21B	Myocardial infarction with coronary microvascular dysfunction
M0585	Other rheumatoid arthritis with rheumatoid factor of hip
H1852	Epithelial (juvenile) corneal dystrophy
M65851	Other synovitis and tenosynovitis, right thigh
S2602	Laceration of heart with hemopericardium
S66121	Laceration of flexor muscle, fascia and tendon of left index finger at wrist and hand level
Q7190	Unspecified reduction defect of unspecified upper limb
S52551	Other extraarticular fracture of lower end of right radius
S93146	Subluxation of metatarsophalangeal joint of unspecified lesser toe(s)
G467	Other lacunar syndromes
T2276	Corrosion of third degree of scapular region
S2223	Sternal manubrial dissociation
A5044	Late congenital syphilitic optic nerve atrophy
C5711	Malignant neoplasm of right broad ligament
L02423	Furuncle of right upper limb
S21411	Laceration without foreign body of right back wall of thorax with penetration into thoracic cavity
F1319	Sedative, hypnotic or anxiolytic abuse with unspecified sedative, hypnotic or anxiolytic-induced disorder
S31114	Laceration without foreign body of abdominal wall, left lower quadrant without penetration into peritoneal cavity
S65511	Laceration of blood vessel of left index finger
V2391	Unspecified electric (assisted) bicycle rider injured in collision with car, pick-up truck or van in traffic accident
H15013	Anterior scleritis, bilateral
T2691	Corrosion of right eye and adnexa, part unspecified
H1601	Central corneal ulcer
I868	Varicose veins of other specified sites
S2047	Other superficial bite of back wall of thorax
S8264	Nondisplaced fracture of lateral malleolus of right fibula
S93432	Sprain of tibiofibular ligament of left ankle
T620X4	Toxic effect of ingested mushrooms, undetermined
V8623	Person on outside of dune buggy injured in traffic accident
N309	Cystitis, unspecified
A3952	Meningococcal myocarditis
C8521	Mediastinal (thymic) large B-cell lymphoma, lymph nodes of head, face, and neck
E74820	SLC13A5 Citrate Transporter Disorder
G894	Chronic pain syndrome
S6550	Unspecified injury of blood vessel of other and unspecified finger
S85819	Laceration of other blood vessels at lower leg level, unspecified leg
I69339	Monoplegia of upper limb following cerebral infarction affecting unspecified side
I7120	Thoracic aortic aneurysm, without rupture, unspecified
S63268	Dislocation of metacarpophalangeal joint of other finger
T3901	Poisoning by, adverse effect of and underdosing of aspirin
O30211	Quadruplet pregnancy with two or more monochorionic fetuses, first trimester
H44719	Retained (nonmagnetic) (old) foreign body in anterior chamber, unspecified eye
N761	Subacute and chronic vaginitis
Z038	Encounter for observation for other suspected diseases and conditions ruled out
S8215	Fracture of tibial tuberosity
T871X	Complications of reattached (part of) lower extremity
A962	Lassa fever
C210	Malignant neoplasm of anus, unspecified
M8535	Osteitis condensans, thigh
M25759	Osteophyte, unspecified hip
M6515	Other infective (teno)synovitis, hip
I8001	Phlebitis and thrombophlebitis of superficial vessels of right lower extremity
M93251	Osteochondritis dissecans, right hip
T23191	Burn of first degree of multiple sites of right wrist and hand
M1A45	Other secondary chronic gout, hip
S20329	Blister (nonthermal) of unspecified front wall of thorax
C8511	Unspecified B-cell lymphoma, lymph nodes of head, face, and neck
M9915	Subluxation complex (vertebral) of pelvic region
P2481	Other neonatal aspiration with respiratory symptoms
M21051	Valgus deformity, not elsewhere classified, right hip
N641	Fat necrosis of breast
K06020	Generalized gingival recession, unspecified
T2156	Corrosion of first degree of male genital region
S72361	Displaced segmental fracture of shaft of right femur
V387	Person on outside of three-wheeled motor vehicle injured in noncollision transport accident in traffic accident
M2578	Osteophyte, vertebrae
T500X	Poisoning by, adverse effect of and underdosing of mineralocorticoids and their antagonists
M02179	Postdysenteric arthropathy, unspecified ankle and foot
H35121	Retinopathy of prematurity, stage 1, right eye
M67834	Other specified disorders of tendon, left wrist
F1916	Other psychoactive substance abuse with psychoactive substance-induced persisting amnestic disorder
G2111	Neuroleptic induced parkinsonism
M7500	Adhesive capsulitis of unspecified shoulder
H6612	Chronic tubotympanic suppurative otitis media, left ear
Z970	Presence of artificial eye
H829	Vertiginous syndromes in diseases classified elsewhere, unspecified ear
S27432	Laceration of bronchus, bilateral
K573	Diverticular disease of large intestine without perforation or abscess
S92352	Displaced fracture of fifth metatarsal bone, left foot
L89811	Pressure ulcer of head, stage 1
G549	Nerve root and plexus disorder, unspecified
D563	Thalassemia minor
C792	Secondary malignant neoplasm of skin
M2679	Other specified alveolar anomalies
T23001	Burn of unspecified degree of right hand, unspecified site
N40	Benign prostatic hyperplasia
N760	Acute vaginitis
H44812	Hemophthalmos, left eye
G40A1	Absence epileptic syndrome, intractable
H40219	Acute angle-closure glaucoma, unspecified eye
G600	Hereditary motor and sensory neuropathy
O8620	Urinary tract infection following delivery, unspecified
M4820	Kissing spine, site unspecified
S15021	Major laceration of right carotid artery
M89362	Hypertrophy of bone, left tibia
C5022	Malignant neoplasm of upper-inner quadrant of breast, male
E78	Disorders of lipoprotein metabolism and other lipidemias
L810	Postinflammatory hyperpigmentation
S63245	Subluxation of distal interphalangeal joint of left ring finger
Q423	Congenital absence, atresia and stenosis of anus without fistula
M10061	Idiopathic gout, right knee
T269	Corrosion of eye and adnexa, part unspecified
N803B1	Deep endometriosis of the right uterosacral ligament
S43216	Anterior dislocation of unspecified sternoclavicular joint
S43006	Unspecified dislocation of unspecified shoulder joint
K08101	Complete loss of teeth, unspecified cause, class I
S548X1	Injury of other nerves at forearm level, right arm
M672	Synovial hypertrophy, not elsewhere classified
H16122	Filamentary keratitis, left eye
M11062	Hydroxyapatite deposition disease, left knee
M7137	Other bursal cyst, ankle and foot
K5532	Stage 2 necrotizing enterocolitis
M1A171	Lead-induced chronic gout, right ankle and foot
V317	Person on outside of three-wheeled motor vehicle injured in collision with pedal cycle in traffic accident
H02225	Mechanical lagophthalmos left lower eyelid
N200	Calculus of kidney
T22562	Corrosion of first degree of left scapular region
M0891	Juvenile arthritis, unspecified, shoulder
M2564	Stiffness of hand, not elsewhere classified
P0501	Newborn light for gestational age, less than 500 grams
T24631	Corrosion of second degree of right lower leg
F10221	Alcohol dependence with intoxication delirium
D30	Benign neoplasm of urinary organs
H26039	Infantile and juvenile nuclear cataract, unspecified eye
K740	Hepatic fibrosis
S52224	Nondisplaced transverse fracture of shaft of right ulna
M86431	Chronic osteomyelitis with draining sinus, right radius and ulna
S63235	Subluxation of proximal interphalangeal joint of left ring finger
M06019	Rheumatoid arthritis without rheumatoid factor, unspecified shoulder
J448	Other specified chronic obstructive pulmonary disease
M12822	Other specific arthropathies, not elsewhere classified, left elbow
Z860100	Personal history of colon polyps, unspecified
H36822	Proliferative sickle-cell retinopathy, left eye
L03322	Acute lymphangitis of back [any part except buttock]
B743	Loiasis
M12221	Villonodular synovitis (pigmented), right elbow
S35416	Laceration of unspecified renal vein
E11A	Type 2 diabetes mellitus without complications in remission
E236	Other disorders of pituitary gland
E614	Chromium deficiency
L22	Diaper dermatitis
S5510	Unspecified injury of radial artery at forearm level
K51912	Ulcerative colitis, unspecified with intestinal obstruction
W44F3	Food entering into or through a natural orifice
F01B11	Vascular dementia, moderate, with agitation
K31A21	Gastric intestinal metaplasia with low grade dysplasia
T25021	Burn of unspecified degree of right foot
R9389	Abnormal findings on diagnostic imaging of other specified body structures
H499	Unspecified paralytic strabismus
M86432	Chronic osteomyelitis with draining sinus, left radius and ulna
S7111	Laceration without foreign body of thigh
L97829	Non-pressure chronic ulcer of other part of left lower leg with unspecified severity
S0142	Laceration with foreign body of cheek and temporomandibular area
T82598	Other mechanical complication of other cardiac and vascular devices and implants
S0030	Unspecified superficial injury of nose
K51513	Left sided colitis with fistula
A055	Foodborne Vibrio vulnificus intoxication
R44	Other symptoms and signs involving general sensations and perceptions
Y9317	Activity, water skiing and wake boarding
D4110	Neoplasm of uncertain behavior of unspecified renal pelvis
F53	Mental and behavioral disorders associated with the puerperium, not elsewhere classified
M62571	Muscle wasting and atrophy, not elsewhere classified, right ankle and foot
M719	Bursopathy, unspecified
H70002	Acute mastoiditis without complications, left ear
L081	Erythrasma
P2421	Neonatal aspiration of blood with respiratory symptoms
Z87310	Personal history of (healed) osteoporosis fracture
R82998	Other abnormal findings in urine
H44703	Unspecified retained (old) intraocular foreign body, nonmagnetic, bilateral
O2642	Herpes gestationis, second trimester
S4381	Sprain of other specified parts of right shoulder girdle
T473	Poisoning by, adverse effect of and underdosing of saline and osmotic laxatives
T82521	Displacement of surgically created arteriovenous shunt
S49149	Salter-Harris Type IV physeal fracture of lower end of humerus, unspecified arm
M24851	Other specific joint derangements of right hip, not elsewhere classified
G710342	Limb girdle muscular dystrophy due to beta sarcoglycan dysfunction
L03313	Cellulitis of chest wall
B448	Other forms of aspergillosis
C813	Lymphocyte depleted Hodgkin lymphoma
H05313	Atrophy of bilateral orbit
S14118	Complete lesion at C8 level of cervical spinal cord
W44H9	Other sharp object entering into or through a natural orifice
F520	Hypoactive sexual desire disorder
N420	Calculus of prostate
S299	Unspecified injury of thorax
N1371	Vesicoureteral-reflux without reflux nephropathy
Z3830	Twin liveborn infant, delivered vaginally
Q960	Karyotype 45, X
M79604	Pain in right leg
V9500	Unspecified helicopter accident injuring occupant
Z7962	Long term (current) use of immunosuppressant
Z90712	Acquired absence of cervix with remaining uterus
S00431	Contusion of right ear
I444	Left anterior fascicular block
Z3A4	Weeks of gestation of pregnancy, weeks 40 or greater
D378	Neoplasm of uncertain behavior of other specified digestive organs
C3492	Malignant neoplasm of unspecified part of left bronchus or lung
S20342	External constriction of left front wall of thorax
S42014	Posterior displaced fracture of sternal end of right clavicle
J455	Severe persistent asthma
K5180	Other ulcerative colitis without complications
M21259	Flexion deformity, unspecified hip
V8092	Occupant of animal-drawn vehicle injured in other and unspecified transport accidents
J341	Cyst and mucocele of nose and nasal sinus
O084	Renal failure following ectopic and molar pregnancy
R0682	Tachypnea, not elsewhere classified
M06329	Rheumatoid nodule, unspecified elbow
S62316	Displaced fracture of base of fifth metacarpal bone, right hand
D259	Leiomyoma of uterus, unspecified
Q122	Coloboma of lens
T63322	Toxic effect of venom of tarantula, intentional self-harm
S9903	Salter-Harris Type III physeal fracture of calcaneus
M21959	Unspecified acquired deformity of unspecified thigh
W00	Fall due to ice and snow
D7381	Neutropenic splenomegaly
R839	Unspecified abnormal finding in cerebrospinal fluid
S90849	External constriction, unspecified foot
F11220	Opioid dependence with intoxication, uncomplicated
S12000	Unspecified displaced fracture of first cervical vertebra
S21149	Puncture wound with foreign body of unspecified front wall of thorax without penetration into thoracic cavity
Y923	Sports and athletics area as the place of occurrence of the external cause
M13872	Other specified arthritis, left ankle and foot
S72142	Displaced intertrochanteric fracture of left femur
V643	Unspecified occupant of heavy transport vehicle injured in collision with heavy transport vehicle or bus in nontraffic accident
M61312	Calcification and ossification of muscles associated with burns, left shoulder
V9383	Other injury due to other accident on board other powered watercraft
G3289	Other specified degenerative disorders of nervous system in diseases classified elsewhere
S62615	Displaced fracture of proximal phalanx of left ring finger
R849	Unspecified abnormal finding in specimens from respiratory organs and thorax
Y3583	Legal intervention involving a conducted energy device
H1639	Other interstitial and deep keratitis
S52366	Nondisplaced segmental fracture of shaft of radius, unspecified arm
